file,part,table_num,rows,cols,has_mass_percent,has_mol_percent,has_molality,has_mole_fraction,has_phase_info,has_temperature,has_concentration,has_solubility,has_ratio,numeric_count
SDS-31_Part1_table_001.csv,Part1,001,5,6,False,False,False,False,False,False,False,False,False,8
SDS-31_Part1_table_002.csv,Part1,002,17,8,False,False,False,False,True,False,False,False,True,3
SDS-31_Part1_table_003.csv,Part1,003,3,4,False,False,False,False,False,False,False,False,False,8
SDS-31_Part1_table_004.csv,Part1,004,19,14,True,False,True,False,True,False,False,False,False,104
SDS-31_Part1_table_005.csv,Part1,005,35,10,False,False,False,False,True,False,False,False,False,202
SDS-31_Part1_table_006.csv,Part1,006,5,12,False,False,False,False,False,False,False,False,False,33
SDS-31_Part1_table_007.csv,Part1,007,14,11,False,False,False,False,True,False,False,False,False,103
SDS-31_Part1_table_008.csv,Part1,008,9,8,False,False,False,False,True,True,False,False,False,51
SDS-31_Part1_table_009.csv,Part1,009,19,10,False,False,False,False,False,True,False,False,False,163
SDS-31_Part1_table_010.csv,Part1,010,16,11,False,False,False,False,False,True,False,False,False,128
SDS-31_Part1_table_011.csv,Part1,011,15,8,False,False,False,False,True,False,False,False,False,77
SDS-31_Part1_table_012.csv,Part1,012,33,11,False,False,False,False,True,True,False,False,False,142
SDS-31_Part1_table_013.csv,Part1,013,14,16,True,False,True,False,False,True,False,False,True,82
SDS-31_Part1_table_014.csv,Part1,014,9,10,True,True,True,False,True,False,False,False,False,56
SDS-31_Part1_table_015.csv,Part1,015,17,9,False,False,False,False,False,False,False,False,False,105
SDS-31_Part1_table_016.csv,Part1,016,28,8,False,False,False,False,False,False,False,False,False,140
SDS-31_Part1_table_017.csv,Part1,017,17,12,True,False,True,False,True,False,False,False,False,83
SDS-31_Part1_table_018.csv,Part1,018,4,9,False,False,False,False,True,False,False,False,False,24
SDS-31_Part1_table_019.csv,Part1,019,3,24,False,False,False,False,False,False,False,False,False,33
SDS-31_Part1_table_020.csv,Part1,020,11,13,False,False,False,False,False,False,False,False,False,116
SDS-31_Part1_table_021.csv,Part1,021,2,13,False,False,False,False,False,False,False,False,False,19
SDS-31_Part1_table_022.csv,Part1,022,7,15,False,False,False,False,False,False,False,False,False,64
SDS-31_Part1_table_023.csv,Part1,023,3,8,False,False,False,False,False,False,False,False,False,18
SDS-31_Part1_table_024.csv,Part1,024,7,8,False,False,False,False,False,False,False,False,False,37
SDS-31_Part1_table_025.csv,Part1,025,6,8,False,False,False,False,False,False,False,False,False,36
SDS-31_Part1_table_026.csv,Part1,026,22,10,True,True,True,False,True,False,False,False,False,157
SDS-31_Part1_table_027.csv,Part1,027,30,11,True,False,True,False,True,False,False,False,False,248
SDS-31_Part1_table_028.csv,Part1,028,7,11,False,False,False,False,True,False,False,False,False,61
SDS-31_Part1_table_029.csv,Part1,029,6,11,True,True,True,False,True,False,False,False,False,40
SDS-31_Part1_table_030.csv,Part1,030,2,12,False,False,False,False,True,False,False,False,False,15
SDS-31_Part1_table_031.csv,Part1,031,29,11,True,True,True,False,True,False,False,False,False,166
SDS-31_Part1_table_032.csv,Part1,032,23,11,False,False,False,False,True,False,False,False,False,185
SDS-31_Part1_table_033.csv,Part1,033,53,12,True,True,True,False,True,True,False,False,False,430
SDS-31_Part1_table_034.csv,Part1,034,49,10,True,True,True,False,True,True,False,False,False,383
SDS-31_Part1_table_035.csv,Part1,035,13,11,True,True,True,False,True,False,False,False,False,96
SDS-31_Part1_table_036.csv,Part1,036,5,27,False,False,False,False,False,False,False,False,False,29
SDS-31_Part1_table_037.csv,Part1,037,9,6,False,False,False,False,False,False,False,False,False,42
SDS-31_Part1_table_038.csv,Part1,038,12,6,False,False,False,False,False,False,False,False,False,61
SDS-31_Part1_table_039.csv,Part1,039,26,9,False,False,False,False,False,True,False,False,False,127
SDS-31_Part1_table_040.csv,Part1,040,48,9,True,False,False,False,False,False,False,False,False,308
SDS-31_Part2_table_001.csv,Part2,001,9,4,False,False,False,False,False,False,False,False,False,36
SDS-31_Part2_table_002.csv,Part2,002,17,5,False,False,False,False,True,False,False,False,False,65
SDS-31_Part2_table_003.csv,Part2,003,14,6,False,False,False,False,False,False,False,False,False,56
SDS-31_Part2_table_004.csv,Part2,004,23,5,True,False,False,False,True,False,False,False,False,89
SDS-31_Part2_table_005.csv,Part2,005,49,5,False,False,False,False,False,False,False,False,False,196
SDS-31_Part2_table_006.csv,Part2,006,5,5,False,False,False,False,False,False,False,False,False,20
SDS-31_Part2_table_007.csv,Part2,007,4,5,False,False,False,False,False,False,False,False,False,18
SDS-31_Part2_table_008.csv,Part2,008,6,7,False,False,False,False,False,False,False,False,False,38
SDS-31_Part2_table_009.csv,Part2,009,21,10,False,False,False,False,True,False,False,False,False,94
SDS-31_Part2_table_010.csv,Part2,010,37,8,False,False,False,False,True,False,False,False,False,137
SDS-31_Part2_table_011.csv,Part2,011,8,6,False,False,False,False,True,False,False,False,False,38
SDS-31_Part2_table_012.csv,Part2,012,11,6,False,False,False,False,True,False,False,False,False,55
SDS-31_Part2_table_013.csv,Part2,013,14,8,False,False,False,False,True,False,False,False,False,70
SDS-31_Part2_table_014.csv,Part2,014,9,15,False,False,False,False,True,False,False,False,False,54
SDS-31_Part2_table_015.csv,Part2,015,15,11,False,False,False,False,True,False,False,False,False,93
SDS-31_Part2_table_016.csv,Part2,016,25,11,False,False,False,False,True,False,False,False,False,157
SDS-31_Part2_table_017.csv,Part2,017,43,13,True,False,True,False,True,True,False,False,False,263
SDS-31_Part2_table_018.csv,Part2,018,9,10,False,False,False,False,True,False,False,False,False,32
SDS-31_Part2_table_019.csv,Part2,019,8,10,False,False,False,False,False,False,False,False,False,80
SDS-31_Part2_table_020.csv,Part2,020,50,13,True,False,True,False,True,False,False,False,False,389
SDS-31_Part2_table_021.csv,Part2,021,45,10,True,False,True,False,True,False,False,False,False,355
SDS-31_Part2_table_022.csv,Part2,022,46,7,True,False,True,False,True,True,False,False,False,122
SDS-31_Part2_table_023.csv,Part2,023,29,11,True,False,True,False,True,True,False,False,False,187
SDS-31_Part2_table_024.csv,Part2,024,17,10,False,False,False,False,True,False,False,False,False,117
SDS-31_Part2_table_025.csv,Part2,025,13,11,False,False,False,False,True,False,False,False,False,97
SDS-31_Part2_table_026.csv,Part2,026,17,10,False,False,False,False,True,False,False,False,False,132
SDS-31_Part2_table_027.csv,Part2,027,19,9,True,False,True,False,True,False,False,False,False,116
SDS-31_Part2_table_028.csv,Part2,028,7,11,False,False,False,False,True,False,False,False,False,54
SDS-31_Part2_table_029.csv,Part2,029,2,9,False,False,False,False,True,False,False,False,False,16
SDS-31_Part2_table_030.csv,Part2,030,18,6,True,False,True,False,True,False,False,False,False,82
SDS-31_Part2_table_031.csv,Part2,031,2,6,False,False,False,False,True,False,False,False,False,10
SDS-31_Part2_table_032.csv,Part2,032,15,6,False,False,False,False,True,False,False,False,False,71
SDS-31_Part2_table_033.csv,Part2,033,50,6,True,False,True,False,True,True,False,False,False,183
SDS-31_Part2_table_034.csv,Part2,034,7,11,False,False,False,False,True,False,False,False,False,42
SDS-31_Part2_table_035.csv,Part2,035,22,11,True,True,True,False,True,True,False,False,False,173
SDS-31_Part2_table_036.csv,Part2,036,24,13,True,True,True,False,True,True,False,False,False,159
SDS-31_Part2_table_037.csv,Part2,037,10,8,False,False,False,False,True,False,False,False,False,46
SDS-31_Part2_table_038.csv,Part2,038,3,6,False,False,False,False,False,False,False,False,False,13
SDS-31_Part2_table_039.csv,Part2,039,5,8,False,False,False,False,True,False,False,False,False,25
SDS-31_Part2_table_040.csv,Part2,040,10,12,False,False,False,False,True,False,False,False,False,103
SDS-31_Part2_table_041.csv,Part2,041,13,12,False,False,False,False,True,False,False,False,False,111
SDS-31_Part2_table_042.csv,Part2,042,14,12,False,False,False,False,False,False,False,False,False,101
SDS-31_Part2_table_043.csv,Part2,043,23,9,False,False,False,False,True,False,False,False,False,114
SDS-31_Part2_table_044.csv,Part2,044,51,9,False,False,False,False,True,True,False,False,False,247
SDS-31_Part2_table_045.csv,Part2,045,52,15,True,False,True,False,True,True,True,False,True,220
SDS-31_Part2_table_046.csv,Part2,046,58,10,True,False,True,False,True,True,False,False,False,542
SDS-31_Part2_table_047.csv,Part2,047,47,12,False,False,False,False,True,True,False,False,False,311
SDS-31_Part2_table_048.csv,Part2,048,12,10,False,False,False,False,False,False,False,False,False,120
SDS-31_Part2_table_049.csv,Part2,049,18,12,False,False,False,False,True,False,False,False,False,118
SDS-31_Part2_table_050.csv,Part2,050,40,10,True,False,True,False,True,True,False,False,False,155
SDS-31_Part2_table_051.csv,Part2,051,24,8,False,False,False,False,True,False,False,False,False,132
SDS-31_Part2_table_052.csv,Part2,052,2,9,False,False,False,False,True,False,False,False,False,12
SDS-31_Part2_table_053.csv,Part2,053,31,8,True,False,True,False,True,False,False,False,False,190
SDS-31_Part2_table_054.csv,Part2,054,16,15,False,False,False,False,True,False,False,False,False,119
SDS-31_Part2_table_055.csv,Part2,055,7,15,False,False,False,False,True,False,False,False,False,55
SDS-31_Part2_table_056.csv,Part2,056,23,11,False,False,False,False,True,False,False,False,False,91
SDS-31_Part2_table_057.csv,Part2,057,58,7,False,False,False,False,True,True,False,False,False,163
SDS-31_Part2_table_058.csv,Part2,058,40,9,False,False,False,False,False,False,False,False,False,309
SDS-31_Part2_table_059.csv,Part2,059,43,10,True,False,True,False,False,True,False,False,False,312
SDS-31_Part2_table_060.csv,Part2,060,10,9,True,False,False,False,True,False,False,False,False,56
SDS-31_Part2_table_061.csv,Part2,061,51,10,False,False,False,False,False,False,False,False,False,380
SDS-31_Part2_table_062.csv,Part2,062,18,8,False,False,False,False,False,False,False,False,False,71
SDS-31_Part3_table_001.csv,Part3,001,12,4,False,False,False,False,False,False,False,False,False,48
SDS-31_Part3_table_002.csv,Part3,002,24,10,False,False,False,False,False,False,False,False,False,206
SDS-31_Part3_table_003.csv,Part3,003,31,10,False,False,False,False,False,False,False,False,False,254
SDS-31_Part3_table_004.csv,Part3,004,2,17,True,False,True,False,True,False,False,False,False,7
SDS-31_Part3_table_005.csv,Part3,005,17,5,False,False,False,False,False,False,False,False,False,85
SDS-31_Part3_table_006.csv,Part3,006,21,6,False,False,False,False,True,True,False,False,False,80
SDS-31_Part3_table_007.csv,Part3,007,9,8,False,False,False,False,True,False,False,False,False,45
SDS-31_Part3_table_008.csv,Part3,008,15,8,False,False,False,False,True,False,False,False,False,75
SDS-31_Part3_table_009.csv,Part3,009,12,8,False,False,False,False,True,False,False,False,False,58
SDS-31_Part3_table_010.csv,Part3,010,15,8,False,False,False,False,True,False,False,False,False,73
SDS-31_Part3_table_011.csv,Part3,011,17,7,False,False,False,False,True,False,False,False,False,67
SDS-31_Part3_table_012.csv,Part3,012,17,11,True,False,True,False,True,False,False,True,False,51
SDS-31_Part3_table_013.csv,Part3,013,18,15,True,False,False,False,True,False,False,True,False,86
SDS-31_Part3_table_014.csv,Part3,014,12,10,False,False,False,False,True,False,False,False,False,80
SDS-31_Part3_table_015.csv,Part3,015,19,5,True,False,True,False,True,False,False,False,False,68
SDS-31_Part3_table_016.csv,Part3,016,20,11,False,False,False,False,True,False,False,False,False,146
